Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,BADROX,HIGHSD,NOISE,EXPFAIL
A12,Sample 12,Ofav,UNKNOWN,SYBR,None,18.11456299,18.03967285,0.105910644,,,,FALSE,0.2,TRUE,3,14,,N,N,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.80457878,18.46353149,0.482315034,,,,FALSE,0.2,TRUE,3,14,,N,N,N,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,16.35384369,16.52661324,0.244333029,,,,FALSE,0.2,TRUE,3,12,,N,N,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,16.75219727,16.92432785,0.243430763,,,,FALSE,0.2,TRUE,3,13,,N,N,N,N
B4,Sample 4,Ofav,UNKNOWN,SYBR,None,15.45480251,15.70413971,0.352616042,,,,FALSE,0.2,TRUE,3,12,,N,N,N,N
B5,Sample 5,Ofav,UNKNOWN,SYBR,None,16.60795021,16.65772247,0.070387259,,,,FALSE,0.2,TRUE,3,13,,N,N,N,N
B6,Sample 6,Ofav,UNKNOWN,SYBR,None,16.73552895,17.25587082,0.735875905,,,,FALSE,0.2,TRUE,3,13,,N,Y,N,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,17.77125931,18.02276993,0.355689734,,,,FALSE,0.2,TRUE,3,14,,N,N,N,N
B8,Sample 8,Ofav,UNKNOWN,SYBR,None,18.76587677,18.58436584,0.256695211,,,,FALSE,0.2,TRUE,3,14,,N,N,N,N
B9,Sample 9,Ofav,UNKNOWN,SYBR,None,19.8493576,19.81945419,0.042291161,,,,FALSE,0.2,TRUE,3,15,,N,N,N,N
B10,Sample 10,Ofav,UNKNOWN,SYBR,None,16.73131561,16.90354156,0.243564278,,,,FALSE,0.2,TRUE,3,13,,N,N,N,N
B11,Sample 11,Ofav,UNKNOWN,SYBR,None,17.12213516,17.43696785,0.445240647,,,,FALSE,0.2,TRUE,3,14,,N,N,N,N
B12,Sample 12,Ofav,UNKNOWN,SYBR,None,17.96478271,18.03967285,0.105910644,,,,FALSE,0.2,TRUE,3,14,,N,N,N,N
C1,Sample 1,A,UNKNOWN,SYBR,None,22.67729187,22.78479195,0.152028069,,,,FALSE,0.2,TRUE,3,18,,N,N,N,N
C2,Sample 2,A,UNKNOWN,SYBR,None,31.94672203,31.56047821,0.54623127,,,,FALSE,0.2,TRUE,3,28,,N,Y,N,N
C3,Sample 3,A,UNKNOWN,SYBR,None,27.33493996,27.25641632,0.11104919,,,,FALSE,0.2,TRUE,3,23,,N,N,N,N
C4,Sample 4,A,UNKNOWN,SYBR,None,24.89832878,24.92654419,0.039902613,,,,FALSE,0.2,TRUE,3,22,,N,N,N,N
C5,Sample 5,A,UNKNOWN,SYBR,None,30.84552002,30.72306061,0.173182413,,,,FALSE,0.2,TRUE,3,26,,N,N,N,N
C6,Sample 6,A,UNKNOWN,SYBR,None,31.43739891,31.33958054,0.138337418,,,,FALSE,0.2,TRUE,3,27,,N,N,N,N
C7,Sample 7,A,UNKNOWN,SYBR,None,23.19200134,23.53662872,0.487378061,,,,FALSE,0.2,TRUE,3,19,,N,N,Y,N
C8,Sample 8,A,UNKNOWN,SYBR,None,32.47541428,32.23554993,0.339216709,,,,FALSE,0.2,TRUE,3,28,,N,N,N,N
C9,Sample 9,A,UNKNOWN,SYBR,None,20.68285751,20.71191978,0.041100256,,,,FALSE,0.2,TRUE,3,16,,N,N,N,N
C10,Sample 10,A,UNKNOWN,SYBR,None,32.31656647,31.90016365,0.588882506,,,,FALSE,0.2,TRUE,3,28,,N,Y,N,N
C11,Sample 11,A,UNKNOWN,SYBR,None,25.21492767,25.18366241,0.044215754,,,,FALSE,0.2,TRUE,3,21,,N,N,N,N
C12,Sample 12,A,UNKNOWN,SYBR,None,36.28287888,35.18904877,1.546912074,,,,FALSE,0.2,TRUE,3,32,,N,Y,N,N
D1,Sample 1,A,UNKNOWN,SYBR,None,22.89229202,22.78479195,0.152028069,,,,FALSE,0.2,TRUE,3,18,,N,N,N,N
D2,Sample 2,A,UNKNOWN,SYBR,None,31.17423439,31.56047821,0.54623127,,,,FALSE,0.2,TRUE,3,27,,N,Y,N,N
D3,Sample 3,A,UNKNOWN,SYBR,None,27.17789268,27.25641632,0.11104919,,,,FALSE,0.2,TRUE,3,23,,N,N,N,N
D4,Sample 4,A,UNKNOWN,SYBR,None,24.9547596,24.92654419,0.039902613,,,,FALSE,0.2,TRUE,3,22,,N,N,N,N
D5,Sample 5,A,UNKNOWN,SYBR,None,30.6006031,30.72306061,0.173182413,,,,FALSE,0.2,TRUE,3,27,,N,N,N,N
D6,Sample 6,A,UNKNOWN,SYBR,None,31.24176025,31.33958054,0.138337418,,,,FALSE,0.2,TRUE,3,27,,N,N,N,N
D7,Sample 7,A,UNKNOWN,SYBR,None,23.88125801,23.53662872,0.487378061,,,,FALSE,0.2,TRUE,3,19,,N,N,N,N
D8,Sample 8,A,UNKNOWN,SYBR,None,31.99568939,32.23554993,0.339216709,,,,FALSE,0.2,TRUE,3,28,,N,N,N,N
D9,Sample 9,A,UNKNOWN,SYBR,None,20.74098206,20.71191978,0.041100256,,,,FALSE,0.2,TRUE,3,17,,N,N,N,N
D10,Sample 10,A,UNKNOWN,SYBR,None,31.48376083,31.90016365,0.588882506,,,,FALSE,0.2,TRUE,3,28,,N,Y,N,N
D11,Sample 11,A,UNKNOWN,SYBR,None,25.15239716,25.18366241,0.044215754,,,,FALSE,0.2,TRUE,3,21,,N,N,N,N
D12,Sample 12,A,UNKNOWN,SYBR,None,34.09521484,35.18904877,1.546912074,,,,FALSE,0.2,TRUE,3,30,,N,Y,N,N
E1,Sample 1,B,UNKNOWN,SYBR,None,39.92088699,36.94039154,4.215054512,,,,FALSE,0.2,TRUE,3,35,,N,Y,N,N
E2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N,Y
E3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,34.43972015,,,,,FALSE,0.2,TRUE,3,39,,N,N,N,Y
E4,Sample 4,B,UNKNOWN,SYBR,None,35.25091934,35.47221375,0.312957555,,,,FALSE,0.2,TRUE,3,32,,N,N,N,N
E5,Sample 5,B,UNKNOWN,SYBR,None,Undetermined,33.90576172,,,,,FALSE,0.2,TRUE,3,38,,N,N,N,Y
E6,Sample 6,B,UNKNOWN,SYBR,None,38.0195694,36.92564392,1.5470469,,,,FALSE,0.2,TRUE,3,34,,N,Y,N,N
E7,Sample 7,B,UNKNOWN,SYBR,None,34.49611664,34.49611664,,,,,FALSE,0.2,TRUE,3,31,,N,N,N,N
E8,Sample 8,B,UNKNOWN,SYBR,None,Undetermined,36.98960495,,,,,FALSE,0.2,TRUE,3,35,,N,N,N,N
E9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,37.2899437,,,,,FALSE,0.2,TRUE,3,39,,N,N,N,Y
E10,Sample 10,B,UNKNOWN,SYBR,None,38.04805756,35.65502548,3.384258509,,,,FALSE,0.2,TRUE,3,34,,N,Y,N,N
E11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N,Y
E12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,33.61254501,,,,,FALSE,0.2,TRUE,3,39,,N,N,N,Y
F1,Sample 1,B,UNKNOWN,SYBR,None,33.9598999,36.94039154,4.215054512,,,,FALSE,0.2,TRUE,3,29,,N,Y,N,N
F2,Sample 2,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,N,N,Y
F3,Sample 3,B,UNKNOWN,SYBR,None,34.43972015,34.43972015,,,,,FALSE,0.2,TRUE,3,30,,N,N,N,N
F4,Sample 4,B,UNKNOWN,SYBR,None,35.69350815,35.47221375,0.312957555,,,,FALSE,0.2,TRUE,3,32,,N,N,N,N
F5,Sample 5,B,UNKNOWN,SYBR,None,33.90576172,33.90576172,,,,,FALSE,0.2,TRUE,3,29,,N,N,N,N
F6,Sample 6,B,UNKNOWN,SYBR,None,35.83171463,36.92564392,1.5470469,,,,FALSE,0.2,TRUE,3,32,,N,Y,N,N
