Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.59308434,18.51229668,0.114251003,,,,FALSE,0.2,TRUE,3,13,,N,N
A2,Sample 2,Ofav,UNKNOWN,SYBR,None,16.83513641,16.65451431,0.255438238,,,,FALSE,0.2,TRUE,3,12,,N,N
A3,Sample 3,Ofav,UNKNOWN,SYBR,None,19.86301041,19.65821838,0.289620996,,,,FALSE,0.2,TRUE,3,15,,N,N
A4,Sample 4,Ofav,UNKNOWN,SYBR,None,19.63090515,19.59686661,0.048139118,,,,FALSE,0.2,TRUE,3,15,,N,N
A5,Sample 5,Ofav,UNKNOWN,SYBR,None,16.49859047,16.4535408,0.063708499,,,,FALSE,0.2,TRUE,3,13,,N,N
A6,Sample 6,Ofav,UNKNOWN,SYBR,None,20.25606155,20.03393936,0.314126879,,,,FALSE,0.2,TRUE,3,15,,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,19.55307198,19.37174797,0.256430864,,,,FALSE,0.2,TRUE,3,15,,N,N
A8,Sample 8,Ofav,UNKNOWN,SYBR,None,17.53161812,17.67313385,0.200132117,,,,FALSE,0.2,TRUE,3,13,,N,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,19.26811981,18.90127182,0.518801391,,,,FALSE,0.2,TRUE,3,15,,Y,N
A10,Sample 10,Ofav,UNKNOWN,SYBR,None,19.47870445,19.51638031,0.053280361,,,,FALSE,0.2,TRUE,3,15,,N,N
A11,Sample 11,Ofav,UNKNOWN,SYBR,None,20.80249214,20.70898628,0.132237256,,,,FALSE,0.2,TRUE,3,16,,N,N
A12,Sample 12,Ofav,UNKNOWN,SYBR,None,19.17978859,19.16223907,0.024818761,,,,FALSE,0.2,TRUE,3,13,,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.43150902,18.51229668,0.114251003,,,,FALSE,0.2,TRUE,3,14,,N,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,16.47389221,16.65451431,0.255438238,,,,FALSE,0.2,TRUE,3,12,,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,19.45342445,19.65821838,0.289620996,,,,FALSE,0.2,TRUE,3,15,,N,N
B4,Sample 4,Ofav,UNKNOWN,SYBR,None,19.56282616,19.59686661,0.048139118,,,,FALSE,0.2,TRUE,3,15,,N,N
B5,Sample 5,Ofav,UNKNOWN,SYBR,None,16.40849304,16.4535408,0.063708499,,,,FALSE,0.2,TRUE,3,13,,N,N
B6,Sample 6,Ofav,UNKNOWN,SYBR,None,19.81181908,20.03393936,0.314126879,,,,FALSE,0.2,TRUE,3,15,,N,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,19.19042397,19.37174797,0.256430864,,,,FALSE,0.2,TRUE,3,15,,N,N
B8,Sample 8,Ofav,UNKNOWN,SYBR,None,17.81464767,17.67313385,0.200132117,,,,FALSE,0.2,TRUE,3,14,,N,N
B9,Sample 9,Ofav,UNKNOWN,SYBR,None,18.53442383,18.90127182,0.518801391,,,,FALSE,0.2,TRUE,3,14,,Y,N
B10,Sample 10,Ofav,UNKNOWN,SYBR,None,19.55405426,19.51638031,0.053280361,,,,FALSE,0.2,TRUE,3,14,,N,N
B11,Sample 11,Ofav,UNKNOWN,SYBR,None,20.61548042,20.70898628,0.132237256,,,,FALSE,0.2,TRUE,3,16,,N,N
B12,Sample 12,Ofav,UNKNOWN,SYBR,None,19.14468956,19.16223907,0.024818761,,,,FALSE,0.2,TRUE,3,15,,N,N
C1,Sample 1,A,UNKNOWN,SYBR,None,33.2354393,33.05977631,0.248424992,,,,FALSE,0.2,TRUE,3,29,,N,N
C2,Sample 2,A,UNKNOWN,SYBR,None,31.89944839,31.61167145,0.406979412,,,,FALSE,0.2,TRUE,3,28,,N,N
C3,Sample 3,A,UNKNOWN,SYBR,None,32.45855713,32.49248505,0.047978625,,,,FALSE,0.2,TRUE,3,28,,N,N
C4,Sample 4,A,UNKNOWN,SYBR,None,34.11553955,33.78121567,0.472805381,,,,FALSE,0.2,TRUE,3,29,,N,N
C5,Sample 5,A,UNKNOWN,SYBR,None,32.40810776,32.27449799,0.188952744,,,,FALSE,0.2,TRUE,3,28,,N,N
