Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,NOISE,EXPFAIL
A1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.42181778,18.26478958,0.222070053,,,,FALSE,0.1,TRUE,3,12,,N,N,N,N
A2,Sample 2,Ofav,UNKNOWN,SYBR,None,17.54067612,17.10927963,0.610086739,,,,FALSE,0.1,TRUE,3,13,,Y,N,N,N
A3,Sample 3,Ofav,UNKNOWN,SYBR,None,15.53016853,15.09418011,0.616580725,,,,FALSE,0.1,TRUE,3,12,,Y,N,N,N
A4,Sample 4,Ofav,UNKNOWN,SYBR,None,16.77479553,16.51758766,0.363746852,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
A5,Sample 5,Ofav,UNKNOWN,SYBR,None,17.73218727,17.58952713,0.201750562,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
A6,Sample 6,Ofav,UNKNOWN,SYBR,None,15.82307529,15.60704613,0.3055107,,,,FALSE,0.1,TRUE,3,12,,N,N,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,15.5466938,15.17264271,0.528988123,,,,FALSE,0.1,TRUE,3,12,,Y,N,N,N
A8,Sample 8,Ofav,UNKNOWN,SYBR,None,17.98287582,17.83447647,0.209869727,,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,16.26084137,15.90146351,0.508237064,,,,FALSE,0.1,TRUE,3,11,,Y,N,N,N
A10,Sample 10,Ofav,UNKNOWN,SYBR,None,17.0966835,16.78109741,0.44630748,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
A11,Sample 11,Ofav,UNKNOWN,SYBR,None,16.97750282,16.44924545,0.747067392,,,,FALSE,0.1,TRUE,3,14,,Y,N,N,N
A12,Sample 12,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.10776329,18.26478958,0.222070053,,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,16.67788315,17.10927963,0.610086739,,,,FALSE,0.1,TRUE,3,13,,Y,N,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,14.65819168,15.09418011,0.616580725,,,,FALSE,0.1,TRUE,3,12,,Y,N,N,N
B4,Sample 4,Ofav,UNKNOWN,SYBR,None,16.26037979,16.51758766,0.363746852,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
B5,Sample 5,Ofav,UNKNOWN,SYBR,None,17.4468689,17.58952713,0.201750562,,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
B6,Sample 6,Ofav,UNKNOWN,SYBR,None,15.39101791,15.60704613,0.3055107,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,14.79859161,15.17264271,0.528988123,,,,FALSE,0.1,TRUE,3,12,,Y,N,N,N
B8,Sample 8,Ofav,UNKNOWN,SYBR,None,17.68607521,17.83447647,0.209869727,,,,FALSE,0.1,TRUE,3,14,,N,N,N,N
B9,Sample 9,Ofav,UNKNOWN,SYBR,None,15.54208565,15.90146351,0.508237064,,,,FALSE,0.1,TRUE,3,12,,Y,N,N,N
B10,Sample 10,Ofav,UNKNOWN,SYBR,None,16.46550941,16.78109741,0.44630748,,,,FALSE,0.1,TRUE,3,13,,N,N,N,N
B11,Sample 11,Ofav,UNKNOWN,SYBR,None,15.92098999,16.44924545,0.747067392,,,,FALSE,0.1,TRUE,3,12,,Y,N,N,N
B12,Sample 12,Ofav,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
C1,Sample 1,A,UNKNOWN,SYBR,None,32.67370224,32.57297897,0.142444208,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
C2,Sample 2,A,UNKNOWN,SYBR,None,31.58973122,31.60998917,0.028650416,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
C3,Sample 3,A,UNKNOWN,SYBR,None,30.85641289,30.66697502,0.267905593,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
C4,Sample 4,A,UNKNOWN,SYBR,None,30.42980957,30.70670319,0.391586721,,,,FALSE,0.1,TRUE,3,27,,N,N,N,N
C5,Sample 5,A,UNKNOWN,SYBR,None,31.65834236,31.41359711,0.346123397,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
C6,Sample 6,A,UNKNOWN,SYBR,None,30.67632866,30.70459747,0.039978139,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
C7,Sample 7,A,UNKNOWN,SYBR,None,31.14812088,30.6784668,0.664189816,,,,FALSE,0.1,TRUE,3,27,,Y,N,N,N
C8,Sample 8,A,UNKNOWN,SYBR,None,31.94994545,31.96903038,0.026990168,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
C9,Sample 9,A,UNKNOWN,SYBR,None,31.94514465,31.79677582,0.209823877,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
C10,Sample 10,A,UNKNOWN,SYBR,None,30.94907761,30.56958771,0.536679745,,,,FALSE,0.1,TRUE,3,27,,Y,N,N,N
C11,Sample 11,A,UNKNOWN,SYBR,None,30.58372307,31.05895424,0.672078371,,,,FALSE,0.1,TRUE,3,27,,Y,N,N,N
C12,Sample 12,A,UNKNOWN,SYBR,None,26.74750137,26.62049484,0.179615706,,,,FALSE,0.1,TRUE,3,22,,N,N,Y,N
D1,Sample 1,A,UNKNOWN,SYBR,None,32.47225571,32.57297897,0.142444208,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
D2,Sample 2,A,UNKNOWN,SYBR,None,31.63024902,31.60998917,0.028650416,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D3,Sample 3,A,UNKNOWN,SYBR,None,30.47753716,30.66697502,0.267905593,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D4,Sample 4,A,UNKNOWN,SYBR,None,30.9835968,30.70670319,0.391586721,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D5,Sample 5,A,UNKNOWN,SYBR,None,31.16884995,31.41359711,0.346123397,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D6,Sample 6,A,UNKNOWN,SYBR,None,30.73286629,30.70459747,0.039978139,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D7,Sample 7,A,UNKNOWN,SYBR,None,30.20881462,30.6784668,0.664189816,,,,FALSE,0.1,TRUE,3,27,,Y,N,N,N
D8,Sample 8,A,UNKNOWN,SYBR,None,31.98811531,31.96903038,0.026990168,,,,FALSE,0.1,TRUE,3,29,,N,N,N,N
D9,Sample 9,A,UNKNOWN,SYBR,None,31.64840889,31.79677582,0.209823877,,,,FALSE,0.1,TRUE,3,28,,N,N,N,N
D10,Sample 10,A,UNKNOWN,SYBR,None,30.19009781,30.56958771,0.536679745,,,,FALSE,0.1,TRUE,3,27,,Y,N,N,N
D11,Sample 11,A,UNKNOWN,SYBR,None,31.53418541,31.05895424,0.672078371,,,,FALSE,0.1,TRUE,3,27,,Y,N,N,N
D12,Sample 12,A,UNKNOWN,SYBR,None,26.4934864,26.62049484,0.179615706,,,,FALSE,0.1,TRUE,3,22,,N,N,Y,N
E1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,37.2960701,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
E2,Sample 2,B,UNKNOWN,SYBR,None,39.11240387,37.5267334,2.242479324,,,,FALSE,0.1,TRUE,3,35,,Y,N,N,N
E3,Sample 3,B,UNKNOWN,SYBR,None,35.73816681,36.58956146,1.204053879,,,,FALSE,0.1,TRUE,3,33,,Y,N,N,N
E4,Sample 4,B,UNKNOWN,SYBR,None,36.72200394,36.72200394,,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
E5,Sample 5,B,UNKNOWN,SYBR,None,36.5836792,37.27920914,0.983627856,,,,FALSE,0.1,TRUE,3,33,,Y,N,N,N
E6,Sample 6,B,UNKNOWN,SYBR,None,34.86338043,35.1160202,0.357289284,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
E7,Sample 7,B,UNKNOWN,SYBR,None,36.45685577,36.45685577,,,,,FALSE,0.1,TRUE,3,34,,N,N,N,N
E8,Sample 8,B,UNKNOWN,SYBR,None,36.76030731,36.51605988,0.345418036,,,,FALSE,0.1,TRUE,3,33,,N,N,N,N
E9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,Y,N,Y
E10,Sample 10,B,UNKNOWN,SYBR,None,37.67615509,37.8266449,0.212822035,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
E11,Sample 11,B,UNKNOWN,SYBR,None,38.91199112,38.02852631,1.249410629,,,,FALSE,0.1,TRUE,3,35,,Y,N,N,N
E12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
F1,Sample 1,B,UNKNOWN,SYBR,None,37.2960701,37.2960701,,,,,FALSE,0.1,TRUE,3,34,,N,N,N,N
F2,Sample 2,B,UNKNOWN,SYBR,None,35.94105911,37.5267334,2.242479324,,,,FALSE,0.1,TRUE,3,32,,Y,N,N,N
F3,Sample 3,B,UNKNOWN,SYBR,None,37.44095612,36.58956146,1.204053879,,,,FALSE,0.1,TRUE,3,34,,Y,N,N,N
F4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,36.72200394,,,,,FALSE,0.1,TRUE,3,37,,N,N,N,Y
F5,Sample 5,B,UNKNOWN,SYBR,None,37.97473907,37.27920914,0.983627856,,,,FALSE,0.1,TRUE,3,34,,Y,N,N,N
F6,Sample 6,B,UNKNOWN,SYBR,None,35.36866379,35.1160202,0.357289284,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
F7,Sample 7,B,UNKNOWN,SYBR,None,Undetermined,36.45685577,,,,,FALSE,0.1,TRUE,3,38,,N,N,N,Y
F8,Sample 8,B,UNKNOWN,SYBR,None,36.27181244,36.51605988,0.345418036,,,,FALSE,0.1,TRUE,3,32,,N,N,N,N
F9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
F10,Sample 10,B,UNKNOWN,SYBR,None,37.97713089,37.8266449,0.212822035,,,,FALSE,0.1,TRUE,3,35,,N,N,N,N
F11,Sample 11,B,UNKNOWN,SYBR,None,37.14505768,38.02852631,1.249410629,,,,FALSE,0.1,TRUE,3,34,,Y,N,N,N
F12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
G1,Sample 1,D,UNKNOWN,SYBR,None,20.29420853,20.34773254,0.075695738,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,19.33882332,19.36317635,0.034440383,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,18.79670906,18.98624992,0.268051267,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,18.66586685,18.8938942,0.322479367,,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,19.19719315,19.29616737,0.13997069,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,19.44913483,19.53662872,0.123733707,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,19.27053261,19.47589493,0.290424824,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,19.47513008,19.5996666,0.176122576,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,19.52067566,19.6356144,0.162547916,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,18.81753159,19.00156021,0.260255784,,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,18.67245674,18.93477249,0.370969146,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,39.17536545,39.17536545,,,,,FALSE,0.1,TRUE,3,4,,N,N,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,20.40125847,20.34773254,0.075695738,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,19.38752937,19.36317635,0.034440383,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,19.17579079,18.98624992,0.268051267,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,19.12192154,18.8938942,0.322479367,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,19.3951416,19.29616737,0.13997069,,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,19.62412071,19.53662872,0.123733707,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,19.68125534,19.47589493,0.290424824,,,,FALSE,0.1,TRUE,3,17,,N,N,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,19.72420502,19.5996666,0.176122576,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,19.75055313,19.6356144,0.162547916,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,19.18558884,19.00156021,0.260255784,,,,FALSE,0.1,TRUE,3,16,,N,N,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,19.19708633,18.93477249,0.370969146,,,,FALSE,0.1,TRUE,3,15,,N,N,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,Undetermined,39.17536545,,,,,FALSE,0.1,TRUE,3,39,,N,N,N,Y
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
