Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,NOAMP,EXPFAIL
A1,Sample 1,Ofav,UNKNOWN,SYBR,None,17.14219284,16.93396378,0.2944803536,,,,FALSE,0.1,TRUE,3,12,,N,N,N
A2,Sample 2,Ofav,UNKNOWN,SYBR,None,19.51801491,19.43203545,0.1215933189,,,,FALSE,0.1,TRUE,3,16,,N,N,N
A3,Sample 3,Ofav,UNKNOWN,SYBR,None,17.84866142,18.16051483,0.4410273135,,,,FALSE,0.1,TRUE,3,14,,N,N,N
A4,Sample 4,Ofav,UNKNOWN,SYBR,None,18.10807419,17.93599892,0.2433511764,,,,FALSE,0.1,TRUE,3,14,,N,N,N
A5,Sample 5,Ofav,UNKNOWN,SYBR,None,18.96195984,18.83005905,0.186537236,,,,FALSE,0.1,TRUE,3,15,,N,N,N
A6,Sample 6,Ofav,UNKNOWN,SYBR,None,16.67687988,16.54615593,0.1848715842,,,,FALSE,0.1,TRUE,3,13,,N,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,16.32665825,16.19940567,0.1799636781,,,,FALSE,0.1,TRUE,3,13,,N,N,N
A8,Sample 8,Ofav,UNKNOWN,SYBR,None,18.99829292,18.92398834,0.1050825492,,,,FALSE,0.1,TRUE,3,15,,N,N,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,17.92176056,17.76968956,0.2150608748,,,,FALSE,0.1,TRUE,3,13,,N,N,N
A10,Sample 10,Ofav,UNKNOWN,SYBR,None,17.56895447,17.54653931,0.03169847652,,,,FALSE,0.1,TRUE,3,14,,N,N,N
A11,Sample 11,Ofav,UNKNOWN,SYBR,None,18.81950378,18.65410995,0.2339008451,,,,FALSE,0.1,TRUE,3,14,,N,N,N
A12,Sample 12,Ofav,UNKNOWN,SYBR,None,17.32275772,16.97013855,0.4986801744,,,,FALSE,0.1,TRUE,3,12,,N,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,16.72573471,16.93396378,0.2944803536,,,,FALSE,0.1,TRUE,3,13,,N,N,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,19.34605598,19.43203545,0.1215933189,,,,FALSE,0.1,TRUE,3,16,,N,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,18.47236824,18.16051483,0.4410273135,,,,FALSE,0.1,TRUE,3,15,,N,N,N
B4,Sample 4,Ofav,UNKNOWN,SYBR,None,17.76392365,17.93599892,0.2433511764,,,,FALSE,0.1,TRUE,3,14,,N,N,N
B5,Sample 5,Ofav,UNKNOWN,SYBR,None,18.69815636,18.83005905,0.186537236,,,,FALSE,0.1,TRUE,3,15,,N,N,N
B6,Sample 6,Ofav,UNKNOWN,SYBR,None,16.41543198,16.54615593,0.1848715842,,,,FALSE,0.1,TRUE,3,13,,N,N,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,16.07215118,16.19940567,0.1799636781,,,,FALSE,0.1,TRUE,3,13,,N,N,N
B8,Sample 8,Ofav,UNKNOWN,SYBR,None,18.84968376,18.92398834,0.1050825492,,,,FALSE,0.1,TRUE,3,15,,N,N,N
B9,Sample 9,Ofav,UNKNOWN,SYBR,None,17.61761856,17.76968956,0.2150608748,,,,FALSE,0.1,TRUE,3,14,,N,N,N
B10,Sample 10,Ofav,UNKNOWN,SYBR,None,17.52412605,17.54653931,0.03169847652,,,,FALSE,0.1,TRUE,3,14,,N,N,N
B11,Sample 11,Ofav,UNKNOWN,SYBR,None,18.48871803,18.65410995,0.2339008451,,,,FALSE,0.1,TRUE,3,15,,N,N,N
B12,Sample 12,Ofav,UNKNOWN,SYBR,None,16.61751747,16.97013855,0.4986801744,,,,FALSE,0.1,TRUE,3,12,,N,N,N
C1,Sample 1,A,UNKNOWN,SYBR,None,31.7687149,31.27269363,0.7014813423,,,,FALSE,0.1,TRUE,3,28,,Y,N,N
C2,Sample 2,A,UNKNOWN,SYBR,None,31.84544563,31.53684998,0.4364188015,,,,FALSE,0.1,TRUE,3,28,,N,N,N
C3,Sample 3,A,UNKNOWN,SYBR,None,31.67036629,31.92869186,0.365326196,,,,FALSE,0.1,TRUE,3,28,,N,N,N
C4,Sample 4,A,UNKNOWN,SYBR,None,30.88666153,30.70476532,0.2572414279,,,,FALSE,0.1,TRUE,3,27,,N,N,N
C5,Sample 5,A,UNKNOWN,SYBR,None,29.76363182,29.77662086,0.01836928166,,,,FALSE,0.1,TRUE,3,26,,N,N,N
C6,Sample 6,A,UNKNOWN,SYBR,None,29.51437759,29.22975159,0.402520597,,,,FALSE,0.1,TRUE,3,26,,N,N,N
C7,Sample 7,A,UNKNOWN,SYBR,None,29.06480598,29.13809204,0.1036407873,,,,FALSE,0.1,TRUE,3,25,,N,N,N
C8,Sample 8,A,UNKNOWN,SYBR,None,30.82385063,30.68290901,0.1993215531,,,,FALSE,0.1,TRUE,3,27,,N,N,N
C9,Sample 9,A,UNKNOWN,SYBR,None,30.79606247,30.55446243,0.3416754007,,,,FALSE,0.1,TRUE,3,27,,N,N,N
C10,Sample 10,A,UNKNOWN,SYBR,None,30.32404137,30.32059288,0.004876896273,,,,FALSE,0.1,TRUE,3,27,,N,N,N
C11,Sample 11,A,UNKNOWN,SYBR,None,30.49258232,30.57782745,0.1205561683,,,,FALSE,0.1,TRUE,3,27,,N,N,N
C12,Sample 12,A,UNKNOWN,SYBR,None,30.21819115,30.22746468,0.01311475039,,,,FALSE,0.1,TRUE,3,27,,N,N,N
