Well,Sample Name,Target Name,Task,Reporter,Quencher,Cт,Cт Mean,Cт SD,Quantity,Quantity Mean,Quantity SD,Automatic Ct Threshold,Ct Threshold,Automatic Baseline,Baseline Start,Baseline End,Comments,HIGHSD,EXPFAIL
A1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.52500725,18.55027008,0.035728388,,,,FALSE,0.2,TRUE,3,13,,N,N
A2,Sample 2,Ofav,UNKNOWN,SYBR,None,19.22243118,18.9940834,0.322933882,,,,FALSE,0.2,TRUE,3,14,,N,N
A3,Sample 3,Ofav,UNKNOWN,SYBR,None,19.2206955,19.01049423,0.297269464,,,,FALSE,0.2,TRUE,3,14,,N,N
A4,Sample 4,Ofav,UNKNOWN,SYBR,None,16.945261,16.78463173,0.22716409,,,,FALSE,0.2,TRUE,3,13,,N,N
A5,Sample 5,Ofav,UNKNOWN,SYBR,None,16.26799583,16.23000526,0.053726781,,,,FALSE,0.2,TRUE,3,12,,N,N
A6,Sample 6,Ofav,UNKNOWN,SYBR,None,17.2981987,17.25083542,0.066981792,,,,FALSE,0.2,TRUE,3,13,,N,N
A7,Sample 7,Ofav,UNKNOWN,SYBR,None,19.29620743,19.16587448,0.184319973,,,,FALSE,0.2,TRUE,3,15,,N,N
A8,Sample 8,Ofav,UNKNOWN,SYBR,None,18.20374298,17.91700745,0.405506641,,,,FALSE,0.2,TRUE,3,13,,N,N
A9,Sample 9,Ofav,UNKNOWN,SYBR,None,18.74635887,18.73773384,0.012197635,,,,FALSE,0.2,TRUE,3,14,,N,N
A10,Sample 10,Ofav,UNKNOWN,SYBR,None,18.05885696,18.21619797,0.222512439,,,,FALSE,0.2,TRUE,3,15,,N,N
A11,Sample 11,Ofav,UNKNOWN,SYBR,None,17.44439507,17.31217194,0.186993092,,,,FALSE,0.2,TRUE,3,13,,N,N
A12,Sample 12,Ofav,UNKNOWN,SYBR,None,19.03660965,18.71605873,0.453327447,,,,FALSE,0.2,TRUE,3,13,,N,N
B1,Sample 1,Ofav,UNKNOWN,SYBR,None,18.57553482,18.55027008,0.035728388,,,,FALSE,0.2,TRUE,3,13,,N,N
B2,Sample 2,Ofav,UNKNOWN,SYBR,None,18.76573372,18.9940834,0.322933882,,,,FALSE,0.2,TRUE,3,14,,N,N
B3,Sample 3,Ofav,UNKNOWN,SYBR,None,18.80029297,19.01049423,0.297269464,,,,FALSE,0.2,TRUE,3,14,,N,N
B4,Sample 4,Ofav,UNKNOWN,SYBR,None,16.62400246,16.78463173,0.22716409,,,,FALSE,0.2,TRUE,3,12,,N,N
B5,Sample 5,Ofav,UNKNOWN,SYBR,None,16.19201469,16.23000526,0.053726781,,,,FALSE,0.2,TRUE,3,12,,N,N
B6,Sample 6,Ofav,UNKNOWN,SYBR,None,17.20347214,17.25083542,0.066981792,,,,FALSE,0.2,TRUE,3,13,,N,N
B7,Sample 7,Ofav,UNKNOWN,SYBR,None,19.03553963,19.16587448,0.184319973,,,,FALSE,0.2,TRUE,3,15,,N,N
B8,Sample 8,Ofav,UNKNOWN,SYBR,None,17.63027,17.91700745,0.405506641,,,,FALSE,0.2,TRUE,3,14,,N,N
B9,Sample 9,Ofav,UNKNOWN,SYBR,None,18.72910881,18.73773384,0.012197635,,,,FALSE,0.2,TRUE,3,14,,N,N
B10,Sample 10,Ofav,UNKNOWN,SYBR,None,18.37353706,18.21619797,0.222512439,,,,FALSE,0.2,TRUE,3,15,,N,N
B11,Sample 11,Ofav,UNKNOWN,SYBR,None,17.1799469,17.31217194,0.186993092,,,,FALSE,0.2,TRUE,3,13,,N,N
B12,Sample 12,Ofav,UNKNOWN,SYBR,None,18.39550781,18.71605873,0.453327447,,,,FALSE,0.2,TRUE,3,14,,N,N
C1,Sample 1,A,UNKNOWN,SYBR,None,29.87454033,29.91862297,0.062342271,,,,FALSE,0.2,TRUE,3,25,,N,N
C2,Sample 2,A,UNKNOWN,SYBR,None,30.7468338,30.65102386,0.135497063,,,,FALSE,0.2,TRUE,3,26,,N,N
C3,Sample 3,A,UNKNOWN,SYBR,None,34.209095,34.42935944,0.311503649,,,,FALSE,0.2,TRUE,3,29,,N,N
C4,Sample 4,A,UNKNOWN,SYBR,None,31.96863937,31.84262848,0.178204969,,,,FALSE,0.2,TRUE,3,28,,N,N
C5,Sample 5,A,UNKNOWN,SYBR,None,30.91844177,30.82538605,0.131599322,,,,FALSE,0.2,TRUE,3,27,,N,N
C6,Sample 6,A,UNKNOWN,SYBR,None,33.18949127,32.91881943,0.382787794,,,,FALSE,0.2,TRUE,3,29,,N,N
C7,Sample 7,A,UNKNOWN,SYBR,None,32.4041481,32.61983871,0.305032581,,,,FALSE,0.2,TRUE,3,28,,N,N
C8,Sample 8,A,UNKNOWN,SYBR,None,32.58961487,32.26295471,0.461969912,,,,FALSE,0.2,TRUE,3,28,,N,N
C9,Sample 9,A,UNKNOWN,SYBR,None,30.89573479,31.63523102,1.045804262,,,,FALSE,0.2,TRUE,3,26,,Y,N
C10,Sample 10,A,UNKNOWN,SYBR,None,23.12234497,22.75569344,0.518523574,,,,FALSE,0.2,TRUE,3,19,,Y,N
C11,Sample 11,A,UNKNOWN,SYBR,None,33.5914917,33.53149033,0.084854759,,,,FALSE,0.2,TRUE,3,29,,N,N
C12,Sample 12,A,UNKNOWN,SYBR,None,35.29560089,35.08986664,0.290949464,,,,FALSE,0.2,TRUE,3,30,,N,N
D1,Sample 1,A,UNKNOWN,SYBR,None,29.96270561,29.91862297,0.062342271,,,,FALSE,0.2,TRUE,3,25,,N,N
D2,Sample 2,A,UNKNOWN,SYBR,None,30.55521202,30.65102386,0.135497063,,,,FALSE,0.2,TRUE,3,26,,N,N
D3,Sample 3,A,UNKNOWN,SYBR,None,34.64962769,34.42935944,0.311503649,,,,FALSE,0.2,TRUE,3,30,,N,N
D4,Sample 4,A,UNKNOWN,SYBR,None,31.71661949,31.84262848,0.178204969,,,,FALSE,0.2,TRUE,3,28,,N,N
D5,Sample 5,A,UNKNOWN,SYBR,None,30.73233223,30.82538605,0.131599322,,,,FALSE,0.2,TRUE,3,27,,N,N
D6,Sample 6,A,UNKNOWN,SYBR,None,32.64814758,32.91881943,0.382787794,,,,FALSE,0.2,TRUE,3,28,,N,N
D7,Sample 7,A,UNKNOWN,SYBR,None,32.83552933,32.61983871,0.305032581,,,,FALSE,0.2,TRUE,3,29,,N,N
D8,Sample 8,A,UNKNOWN,SYBR,None,31.93629074,32.26295471,0.461969912,,,,FALSE,0.2,TRUE,3,27,,N,N
D9,Sample 9,A,UNKNOWN,SYBR,None,32.37472534,31.63523102,1.045804262,,,,FALSE,0.2,TRUE,3,28,,Y,N
D10,Sample 10,A,UNKNOWN,SYBR,None,22.3890419,22.75569344,0.518523574,,,,FALSE,0.2,TRUE,3,19,,Y,N
D11,Sample 11,A,UNKNOWN,SYBR,None,33.47148895,33.53149033,0.084854759,,,,FALSE,0.2,TRUE,3,30,,N,N
D12,Sample 12,A,UNKNOWN,SYBR,None,34.8841362,35.08986664,0.290949464,,,,FALSE,0.2,TRUE,3,30,,N,N
E1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,Y
E2,Sample 2,B,UNKNOWN,SYBR,None,39.17794418,38.61941528,0.789881825,,,,FALSE,0.2,TRUE,3,35,,Y,N
E3,Sample 3,B,UNKNOWN,SYBR,None,Undetermined,38.07910538,,,,,FALSE,0.2,TRUE,3,39,,N,Y
E4,Sample 4,B,UNKNOWN,SYBR,None,Undetermined,33.94647217,,,,,FALSE,0.2,TRUE,3,38,,N,Y
E5,Sample 5,B,UNKNOWN,SYBR,None,34.07414246,35.9020462,2.585046291,,,,FALSE,0.2,TRUE,3,30,,Y,N
E6,Sample 6,B,UNKNOWN,SYBR,None,36.08479309,36.08479309,,,,,FALSE,0.2,TRUE,3,32,,N,N
E7,Sample 7,B,UNKNOWN,SYBR,None,39.27152634,39.38540649,0.161053553,,,,FALSE,0.2,TRUE,3,35,,N,N
E8,Sample 8,B,UNKNOWN,SYBR,None,38.76596451,38.83347321,0.095471717,,,,FALSE,0.2,TRUE,3,34,,N,N
E9,Sample 9,B,UNKNOWN,SYBR,None,Undetermined,38.11487198,,,,,FALSE,0.2,TRUE,3,38,,N,Y
E10,Sample 10,B,UNKNOWN,SYBR,None,Undetermined,37.43494797,,,,,FALSE,0.2,TRUE,3,39,,N,Y
E11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,Y
E12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,Y
F1,Sample 1,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,Y
F2,Sample 2,B,UNKNOWN,SYBR,None,38.06088257,38.61941528,0.789881825,,,,FALSE,0.2,TRUE,3,34,,Y,N
F3,Sample 3,B,UNKNOWN,SYBR,None,38.07910538,38.07910538,,,,,FALSE,0.2,TRUE,3,34,,N,N
F4,Sample 4,B,UNKNOWN,SYBR,None,33.94647217,33.94647217,,,,,FALSE,0.2,TRUE,3,30,,N,N
F5,Sample 5,B,UNKNOWN,SYBR,None,37.72994995,35.9020462,2.585046291,,,,FALSE,0.2,TRUE,3,34,,Y,N
F6,Sample 6,B,UNKNOWN,SYBR,None,Undetermined,36.08479309,,,,,FALSE,0.2,TRUE,3,39,,N,Y
F7,Sample 7,B,UNKNOWN,SYBR,None,39.49929047,39.38540649,0.161053553,,,,FALSE,0.2,TRUE,3,35,,N,N
F8,Sample 8,B,UNKNOWN,SYBR,None,38.9009819,38.83347321,0.095471717,,,,FALSE,0.2,TRUE,3,35,,N,N
F9,Sample 9,B,UNKNOWN,SYBR,None,38.11487198,38.11487198,,,,,FALSE,0.2,TRUE,3,33,,N,N
F10,Sample 10,B,UNKNOWN,SYBR,None,37.43494797,37.43494797,,,,,FALSE,0.2,TRUE,3,33,,N,N
F11,Sample 11,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,Y
F12,Sample 12,B,UNKNOWN,SYBR,None,Undetermined,,,,,,FALSE,0.2,TRUE,3,39,,N,Y
G1,Sample 1,D,UNKNOWN,SYBR,None,22.50359535,22.49578476,0.011044498,,,,FALSE,0.2,TRUE,3,18,,N,N
G2,Sample 2,D,UNKNOWN,SYBR,None,20.55866432,20.58325195,0.034772161,,,,FALSE,0.2,TRUE,3,16,,N,N
G3,Sample 3,D,UNKNOWN,SYBR,None,21.29527664,21.32316208,0.039437313,,,,FALSE,0.2,TRUE,3,17,,N,N
G4,Sample 4,D,UNKNOWN,SYBR,None,20.10146523,20.04476929,0.080181517,,,,FALSE,0.2,TRUE,3,16,,N,N
G5,Sample 5,D,UNKNOWN,SYBR,None,20.51784897,20.28047562,0.335695267,,,,FALSE,0.2,TRUE,3,16,,N,N
G6,Sample 6,D,UNKNOWN,SYBR,None,20.92605209,21.02431488,0.13896592,,,,FALSE,0.2,TRUE,3,16,,N,N
G7,Sample 7,D,UNKNOWN,SYBR,None,20.52624702,20.60256577,0.107929647,,,,FALSE,0.2,TRUE,3,16,,N,N
G8,Sample 8,D,UNKNOWN,SYBR,None,20.63521385,20.65014267,0.021113886,,,,FALSE,0.2,TRUE,3,16,,N,N
G9,Sample 9,D,UNKNOWN,SYBR,None,21.07845688,21.1844101,0.149840474,,,,FALSE,0.2,TRUE,3,16,,N,N
G10,Sample 10,D,UNKNOWN,SYBR,None,19.83010674,20.00250816,0.243812442,,,,FALSE,0.2,TRUE,3,16,,N,N
G11,Sample 11,D,UNKNOWN,SYBR,None,21.85406303,21.87548447,0.03029448,,,,FALSE,0.2,TRUE,3,18,,N,N
G12,Sample 12,D,UNKNOWN,SYBR,None,22.46784973,22.5697403,0.144093663,,,,FALSE,0.2,TRUE,3,18,,N,N
H1,Sample 1,D,UNKNOWN,SYBR,None,22.48797607,22.49578476,0.011044498,,,,FALSE,0.2,TRUE,3,17,,N,N
H2,Sample 2,D,UNKNOWN,SYBR,None,20.60783958,20.58325195,0.034772161,,,,FALSE,0.2,TRUE,3,16,,N,N
H3,Sample 3,D,UNKNOWN,SYBR,None,21.35104942,21.32316208,0.039437313,,,,FALSE,0.2,TRUE,3,16,,N,N
H4,Sample 4,D,UNKNOWN,SYBR,None,19.98807144,20.04476929,0.080181517,,,,FALSE,0.2,TRUE,3,16,,N,N
H5,Sample 5,D,UNKNOWN,SYBR,None,20.04310417,20.28047562,0.335695267,,,,FALSE,0.2,TRUE,3,16,,N,N
H6,Sample 6,D,UNKNOWN,SYBR,None,21.12257957,21.02431488,0.13896592,,,,FALSE,0.2,TRUE,3,17,,N,N
H7,Sample 7,D,UNKNOWN,SYBR,None,20.6788826,20.60256577,0.107929647,,,,FALSE,0.2,TRUE,3,16,,N,N
H8,Sample 8,D,UNKNOWN,SYBR,None,20.66507339,20.65014267,0.021113886,,,,FALSE,0.2,TRUE,3,16,,N,N
H9,Sample 9,D,UNKNOWN,SYBR,None,21.29036331,21.1844101,0.149840474,,,,FALSE,0.2,TRUE,3,17,,N,N
H10,Sample 10,D,UNKNOWN,SYBR,None,20.17490959,20.00250816,0.243812442,,,,FALSE,0.2,TRUE,3,16,,N,N
H11,Sample 11,D,UNKNOWN,SYBR,None,21.8969059,21.87548447,0.03029448,,,,FALSE,0.2,TRUE,3,18,,N,N
H12,Sample 12,D,UNKNOWN,SYBR,None,22.67162895,22.5697403,0.144093663,,,,FALSE,0.2,TRUE,3,18,,N,N
