Time,Tank 1,Tank 2,Tank 3,Tank 4,Tank 5,Tank 6,Tank 7,Tank 8
5/2/2023 07:00:08.436,21.263268,21.473093,22.047296,22.120975,20.266138,22.787149,22.74404,22.276249
5/2/2023 07:05:08.598,21.307705,21.521152,22.06472,22.180787,20.266875,22.78569,22.753301,22.275446
5/2/2023 07:10:06.030,21.355928,21.508465,22.110157,22.154642,20.286807,22.79405,22.756432,22.352977
5/2/2023 07:15:10.734,21.335079,21.579538,22.153593,22.194768,20.294019,22.782494,22.756661,22.371057
5/2/2023 07:20:09.257,21.395103,21.634301,22.183229,22.285756,20.329064,22.787247,22.769299,22.435474
5/2/2023 07:25:09.138,21.47906,21.711963,22.249728,22.265972,20.332162,22.799803,22.764939,22.468535
5/2/2023 07:30:06.227,21.42251,21.752499,22.295837,22.328701,20.327654,22.789214,22.771151,22.450374
5/2/2023 07:35:10.168,21.453817,21.712422,22.357976,22.292985,20.352766,22.795574,22.78215,22.49781
5/2/2023 07:40:08.675,21.446457,21.720896,22.334701,22.370942,20.385548,22.796476,22.779314,22.482681
5/2/2023 07:45:06.819,21.463816,21.739206,22.411576,22.368713,20.399563,22.808048,22.795459,22.580799
5/2/2023 07:50:09.856,21.58793,21.838701,22.438982,22.430082,20.410561,22.805475,22.800016,22.620794
5/2/2023 07:55:12.102,21.565622,21.900233,22.492008,22.466306,20.418282,22.804999,22.810884,22.647053
5/2/2023 08:00:10.986,21.586275,21.85955,22.522233,22.484714,20.422134,22.815178,22.818063,22.650331
5/2/2023 08:05:09.680,21.572654,21.857633,22.543804,22.422214,20.468078,22.804917,22.830225,22.642545
5/2/2023 08:10:07.051,21.616681,21.86927,22.521446,22.523315,20.481339,22.809163,22.824702,22.716765
5/2/2023 08:15:07.881,21.74627,21.946014,22.607402,22.509776,20.492337,22.817162,22.839732,22.75989
5/2/2023 08:20:11.383,21.740041,22.016349,22.634186,22.588487,20.494206,22.824111,22.854058,22.773479
5/2/2023 08:25:10.901,21.653446,22.009039,22.703865,22.59924,20.473258,22.83334,22.861713,22.820489
5/2/2023 08:30:08.083,21.736517,21.978617,22.686195,22.517677,20.567229,22.828963,22.863926,22.805835
5/2/2023 08:35:06.049,21.731272,22.021447,22.703422,22.614434,20.595111,22.831717,22.870286,22.854321
5/2/2023 08:40:10.327,21.83593,22.058753,22.725075,22.674328,20.570311,22.84424,22.883956,22.878711
5/2/2023 08:45:05.788,21.806951,22.12563,22.82916,22.685982,20.564525,22.847895,22.888775,22.935326
5/2/2023 08:50:10.726,21.817015,22.11573,22.822046,22.684868,20.58921,22.848698,22.890988,22.943424
5/2/2023 08:55:09.778,21.857993,22.064982,22.848076,22.627203,20.626631,22.853583,22.905527,22.914198
5/2/2023 09:00:09.393,21.835357,22.114189,22.817801,22.737418,20.673543,22.85019,22.918574,22.964011
5/2/2023 09:05:07.413,21.834357,22.129367,22.866745,22.762923,20.631172,22.861926,22.920377,23.013119
5/2/2023 09:10:06.838,21.926181,22.189802,22.894676,22.768889,20.610355,22.863582,22.926901,23.060556
5/2/2023 09:15:09.118,21.951194,22.214618,22.965371,22.826816,20.659053,22.873548,22.938932,23.084143
5/2/2023 09:20:08.507,21.939048,22.197375,22.957831,22.807343,21.076686,22.88394,22.937834,23.067391
5/2/2023 09:25:06.900,21.948407,22.09488,22.977911,22.795853,21.059082,22.880907,22.961651,23.083159
5/2/2023 09:30:12.188,21.89466,21.554853,23.01207,22.711061,21.038839,22.976337,23.086421,23.057146
5/2/2023 09:35:08.631,21.831718,21.388022,22.974665,22.598617,20.956866,23.139217,23.240319,23.074111
