"","Treatment","Disease","Beaker.conditions","Nutrients","Day","meanNH4","sdNH4","seNH4"
"334","HN_31","SCTLD","Blank","HN",21,0.215,0.148492424049175,0.105
"335","HN_31","SCTLD","Blank","HN",23,0.525,0.346482322781408,0.245
"336","HN_31","SCTLD","Blank","HN",25,3.645,0.459619407771256,0.325
"337","HN_31","SCTLD","Blank","HN",29,2.215,1.13844191771034,0.805
"338","HN_31","SCTLD","Blank","HN",31,2.8025,1.07833784130948,0.7625
"339","HN_31","SCTLD","Blank","HN",35,10.77,0.268700576850889,0.19
"340","HN_31","SCTLD","Blank","HN",37,3.955,4.05172185619892,2.865
"341","HN_31","SCTLD","Blank","HN",39,4.9325,6.10586705554584,4.3175
"342","HN_31","SCTLD","Blank","HN",42,4.585,4.41941738241592,3.125
"343","HN_31","SCTLD","Blank","HN",45,1.405,0.417193000900063,0.295
"344","HN_31","SCTLD","Blank","HN",50,3.025,4.19314321243623,2.965
"345","HN_31","SCTLD","Blank","HN",52,0.27,NA,NA
"346","HN_31","SCTLD","Coral","HN",1,4.17941176470588,0.643850434769552,0.156156667626748
"347","HN_31","SCTLD","Coral","HN",2,1.89647058823529,0.626038548897656,0.151836650753732
"348","HN_31","SCTLD","Coral","HN",3,0.349411764705882,0.236444247874507,0.0573461534444891
"349","HN_31","SCTLD","Coral","HN",4,0.264705882352941,0.537379261405048,0.130333615046436
"350","HN_31","SCTLD","Coral","HN",7,0.349411764705882,0.236444247874507,0.0573461534444891
"351","HN_31","SCTLD","Coral","HN",9,0.352941176470588,0.218482399344957,0.0529897652845669
"352","HN_31","SCTLD","Coral","HN",11,0.150882352941176,0.132384800087161,0.0321080302344496
"353","HN_31","SCTLD","Coral","HN",14,0.140882352941176,0.0609875831142508,0.0147916615900701
"354","HN_31","SCTLD","Coral","HN",15,0.15,0.126243811729526,0.0306186217847897
"355","HN_31","SCTLD","Coral","HN",16,0.249411764705882,0.261186489606452,0.0633470285077465
"356","HN_31","SCTLD","Coral","HN",18,1.25823529411765,0.808302505981808,0.196042153506732
"357","HN_31","SCTLD","Coral","HN",21,0.791470588235294,0.508040859287796,0.123218007351361
"358","HN_31","SCTLD","Coral","HN",23,0.567941176470588,0.514529696736281,0.124791781597689
"359","HN_31","SCTLD","Coral","HN",25,1.63970588235294,1.3803107333453,0.334774526456261
"360","HN_31","SCTLD","Coral","HN",29,1.50823529411765,0.899049743438299,0.218051591463563
"361","HN_31","SCTLD","Coral","HN",31,1.27529411764706,0.517012060389538,0.125393843217899
"362","HN_31","SCTLD","Coral","HN",35,5.165,1.53912312697848,0.513041042326159
"363","HN_31","SCTLD","Coral","HN",37,2.35722222222222,1.5152827935552,0.505094264518399
"364","HN_31","SCTLD","Coral","HN",39,4.17888888888889,2.40302644827541,0.801008816091802
"365","HN_31","SCTLD","Coral","HN",42,2.57222222222222,1.64210061946412,0.547366873154706
"366","HN_31","SCTLD","Coral","HN",45,1.22166666666667,0.779887812444841,0.25996260414828
"367","HN_31","SCTLD","Coral","HN",50,1.24944444444444,3.11322024241424,1.03774008080475
"368","HN_31","SCTLD","Coral","HN",52,4.97833333333333,13.7939696969364,4.5979898989788
