Tank,Beaker,Fragment,Genotype,Tag,Disease,Nutrients,Temp,Treatment,Start_Of_Lesion,Date of Total Annihilation ,Notes,Days_until_lesion,Days_until_death,Lesion_progression_to_dead,Fu.stat_dead,Fu.stat_les,Disease_Status,Fu.time_tot,Fu.stat_tot,Fu.time_texp
3,57,A_205,A,205,SCTLD,HN,31,HN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
3,58,C_527,C,527,SCTLD,HN,31,HN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
3,59,D_867,D,867,SCTLD,HN,31,HN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
3,61,A_209,A,209,SCTLD,HN,31,HN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
3,62,C_528,C,528,SCTLD,HN,31,HN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
3,63,D_866,D,866,SCTLD,HN,31,HN_31_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
4,65,A_214,A,214,Placebo,HN,28,HN_28_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
4,66,C_511,C,511,Placebo,HN,28,HN_28_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
4,67,D_868,D,868,Placebo,HN,28,HN_28_Placebo,2023-06-24,2023-06-24,,100,100,0,0,0,Placebo,,,
4,69,A_287,A,287,SCTLD,HN,28,HN_28_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
4,70,C_529,C,529,SCTLD,HN,28,HN_28_SCTLD,2023-06-14,2023-06-18,,28,32,4,1,1,Disease,,,
4,71,D_549,D,549,SCTLD,HN,28,HN_28_SCTLD,2023-06-19,2023-06-24,,33,100,0,0,1,Disease,,,
4,73,A_305,A,305,SCTLD,LN,28,LN_28_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
4,74,C_530,C,530,SCTLD,LN,28,LN_28_SCTLD,2023-06-16,2023-06-18,,30,32,2,1,1,Disease,,,
4,75,D_860,D,860,SCTLD,LN,28,LN_28_SCTLD,2023-06-17,2023-06-19,,31,33,2,1,1,Disease,,,
4,77,A_310,A,310,SCTLD,LN,28,LN_28_SCTLD,2023-06-24,2023-06-24,,100,100,0,0,0,NAI,,,
4,78,C_531,C,531,SCTLD,LN,28,LN_28_SCTLD,2023-06-16,2023-06-19,,30,33,3,1,1,Disease,,,
4,79,D_861,D,861,SCTLD,LN,28,LN_28_SCTLD,2023-06-18,2023-06-21,,32,35,3,1,1,Disease,,,
